20-29,30-39,Less than a high school diploma 2014-18,Bachelor's degree or higher 2014-18,Unemployed_2018,Internal Medicine Primary Care (2019),ICU Beds_x,y_n
0.015633820636540487,0.018611922896886672,0.003694768448854465,0.02092188175235513,0.010419924195989643,0.014953603115926216,0.00376293508936971,0
0.015143156422338582,0.016780827162540708,0.00979384054647248,0.021159771313733623,0.014147580150857486,0.017832252079871613,0.023988711194731893,0
0.004379370780946046,0.0045690832469389075,0.0018737411977977902,0.007962870858574654,0.0037359952299346622,0.006767730524275895,0.006585136406396991,0
0.005652914153671666,0.0069548345255431195,0.0023153060763434876,0.003955488015739286,0.004695011862618783,0.0037505307540498427,0.0018814675446848558,0
0.0034134558880669066,0.003477084336274406,0.0011925674704288455,0.003442969192383307,0.00246425578224485,0.002636190655565746,0.004703668861712136,0
0.00036221808482967896,0.00039285326664149564,0.00030053795609544416,0.00038852233383436865,0.00032106209007251064,0.00036483454920087366,0.0,0
0.0018476975710194719,0.001992232158968407,0.0027534479713345675,0.0007416827058422063,0.0018888458026343775,0.002707735282209158,0.0,0
0.008169173828073573,0.008227279597664987,0.004610758848070192,0.007073770104078978,0.007909802400877292,0.007813887505245237,0.015051740357478836,0
0.001881093564656251,0.001895683474793802,0.0022810762407973095,0.0008647607028488425,0.0016219890004961872,0.0015647638356882775,0.0,0
0.026422011042513745,0.04182422413144471,0.010933694070160212,0.06875834967101895,0.022119927114735916,0.035508790937541265,0.015522107243650048,0
0.00013037282131280956,0.00012717792191275536,0.00012801958494270717,0.00011894478068924519,0.00014176767613591386,0.00021393861645576523,0.0,0
0.04450529936618258,0.04990834533533356,0.03536421229617845,0.06042670406768187,0.048984901742491524,0.07751630861755994,0.03762935089369709,0
0.0002697368716816761,0.00032493626122211995,0.00034161375875085744,0.00010470814670713452,0.00022516042680409756,0.00023494547795138536,0.0,0
0.0005992011935214356,0.000574631134087478,0.0009022984649972553,0.0008133251220102493,0.0012050252471552652,0.0008887792399173578,0.0,0
0.011563362796734644,0.011185664451373756,0.009819170624776653,0.00986047639451274,0.01005716573058304,0.010156782077000012,0.046095954844778936,0
0.14617747530141492,0.1346341437430127,0.17727768748707828,0.08410360411870414,0.14309779050907107,0.26578136139507713,0.12699905926622768,0
0.0014803416410149057,0.0015014985021636895,0.0017772130615575678,0.0005758948068892433,0.0014843909618936831,0.0008695692174506883,0.0,0
0.0011264725545944224,0.0013270450176550916,0.000898875481442637,0.0010971393091374834,0.0007797222187475245,0.0009178848469378886,0.0,0
0.0009941730413410288,0.001275108484099098,0.00037652819100795955,0.0011798036354852218,0.001104953946353444,0.001143512722067674,0.0,0
